Zone,Date,Sex,County,Method,County_FIPS,Value
3,10/15/12,M,Rusk,Gun,107,1
2,10/15/12,F,Vilas,Gun,125,1
5,10/15/12,M,Eau Claire,Gun,35,1
1,10/15/12,F,Iron,Gun,51,1
2,10/16/12,M,Oneida,Trap: foothold,85,2
2,10/17/12,M,Taylor,Gun,119,3
4,10/18/12,F,Lincoln,Trap: foothold,69,4
2,10/19/12,F,Vilas,Trap: foothold,125,5
1,10/19/12,F,Bayfield,Trap: foothold,7,5
2,10/19/12,M,Forest,Gun,41,5
4,10/19/12,M,Oconto,Gun,83,5
1,10/19/12,M,Price,Trap: foothold,99,5
2,10/20/12,F,Vilas,Gun,125,6
6,10/20/12,M,Barron,Gun,5,6
1,10/20/12,M,Bayfield,Trap: foothold,7,6
1,10/20/12,F,Bayfield,Gun,7,6
5,10/21/12,M,Jackson,Trap: foothold,53,7
5,10/21/12,M,Clark,Trap: foothold,19,7
1,10/22/12,M,Price,Trap: foothold,99,8
1,10/23/12,F,Bayfield,Trap: foothold,7,9
2,10/23/12,M,Oneida,Trap: foothold,85,9
3,10/23/12,M,Sawyer,Gun,113,9
1,10/24/12,M,Price,Gun,99,10
1,10/24/12,F,Price,Trap: foothold,99,10
5,10/25/12,M,Adams,Trap: foothold,1,11
1,10/25/12,M,Iron,Trap: foothold,51,11
5,10/25/12,M,Jackson,Trap: foothold,53,11
2,10/25/12,F,Oneida,Trap: foothold,85,11
5,10/25/12,M,Wood,Trap: foothold,141,11
5,10/26/12,M,Adams,Trap: foothold,1,12
1,10/26/12,F,Douglas,Trap: foothold,31,12
2,10/27/12,M,Oneida,Gun,85,13
1,10/27/12,M,Price,Trap: foothold,99,13
3,10/27/12,M,Price,Gun,99,13
6,10/27/12,M,Shawano,Gun,115,13
4,10/28/12,M,Langlade,Trap: foothold,67,14
2,10/28/12,M,Marinette,Gun,75,14
6,10/28/12,M,Wood,Gun,141,14
1,10/29/12,F,Bayfield,Trap: foothold,7,15
1,10/29/12,F,Douglas,Trap: foothold,31,15
5,10/30/12,M,Adams,Trap: foothold,1,16
5,10/30/12,M,Clark,Trap: foothold,19,16
1,10/31/12,F,Douglas,Trap: foothold,31,17
4,10/31/12,F,Langlade,Trap: foothold,67,17
5,11/1/12,M,Eau Claire,Gun,35,18
5,11/1/12,F,Jackson,Trap: foothold,53,18
3,11/1/12,F,Price,Trap: foothold,99,18
5,11/1/12,M,Wood,Trap: foothold,141,18
5,11/1/12,F,Wood,Trap: foothold,141,18
1,11/2/12,M,Douglas,Trap: foothold,31,19
1,11/2/12,M,Douglas,Trap: foothold,31,19
5,11/2/12,F,Jackson,Gun,53,19
1,11/3/12,M,Douglas,Trap: foothold,31,20
2,11/3/12,F,Florence,Gun,37,20
2,11/3/12,F,Florence,Gun,37,20
5,11/3/12,M,Jackson,Trap: foothold,53,20
2,11/3/12,F,Lincoln,Gun,69,20
5,11/4/12,M,Adams,Trap: foothold,1,21
3,11/4/12,F,Rusk,Trap: foothold,107,21
1,11/5/12,F,Iron,Trap: foothold,51,22
5,11/5/12,F,Jackson,Trap: foothold,53,22
2,11/6/12,M,Forest,Trap: foothold,41,23
2,11/6/12,F,Vilas,Gun,125,23
1,11/7/12,M,Douglas,Trap: foothold,31,24
1,11/7/12,M,Douglas,Trap: foothold,31,24
2,11/8/12,F,Forest,Trap: foothold,41,25
1,11/8/12,F,Iron,Trap: foothold,51,25
6,11/9/12,M,Wood,Trap: foothold,141,26
1,11/10/12,M,Bayfield,Trap: foothold,7,27
1,11/10/12,M,Iron,Gun,51,27
2,11/11/12,F,Forest,Trap: foothold,41,28
3,11/11/12,F,Rusk,Trap: foothold,107,28
1,11/12/12,M,Douglas,Trap: foothold,31,29
6,11/13/12,F,Burnett,Trap: foothold,13,30
6,11/14/12,M,Burnett,Gun,13,31
2,11/14/12,F,Forest,Trap: foothold,41,31
5,11/14/12,F,Jackson,Trap: foothold,53,31
1,11/14/12,F,Price,Trap: foothold,99,31
4,11/17/12,M,Langlade,Gun,67,34
6,11/17/12,F,Marathon,Gun,73,34
3,11/17/12,F,Rusk,Gun,107,34
6,11/17/12,M,Shawano,Gun,115,34
2,11/17/12,M,Taylor,Gun,119,34
6,11/17/12,M,Waupaca,Gun,135,34
1,11/18/12,F,Douglas,Gun,31,35
1,11/18/12,M,Douglas,Trap: foothold,31,35
1,11/18/12,M,Iron,Gun,51,35
6,11/18/12,M,Wood,Gun,141,35
5,11/18/12,F,Wood,Gun,141,35
1,11/19/12,M,Sawyer,Gun,113,36
6,11/19/12,M,Wood,Trap: foothold,141,36
6,11/21/12,M,Portage,Gun,97,38
6,11/22/12,F,Jackson,Gun,53,39
3,11/22/12,M,Taylor,Gun,119,39
3,11/22/12,M,Washburn,Gun,129,39
5,11/25/12,M,Monroe,Gun,81,42
6,11/25/12,M,Shawano,Gun,115,42
6,11/25/12,M,Washburn,Gun,129,42
1,11/28/12,F,Douglas,Gun,31,45
5,11/29/12,F,Juneau,Trap: foothold,57,46
6,11/29/12,M,Wood,Trap: foothold,141,46
1,12/1/12,M,Iron,Trap: foothold,51,48
6,12/3/12,M,Barron,Gun,5,50
5,12/4/12,F,Jackson,Trap: foothold,53,51
3,12/9/12,F,Washburn,Gun,129,56
5,12/10/12,F,Clark,Gun,19,57
6,12/12/12,M,Marathon,Gun,73,59
6,12/13/12,M,Clark,Gun,19,60
3,12/15/12,M,Burnett,Gun,13,62
3,12/17/12,M,Chippewa,Trap: foothold,17,64
3,12/19/12,F,Taylor,Trap: foothold,119,66
3,12/21/12,F,Rusk,Gun,107,68
3,12/21/12,M,Taylor,Gun,119,68
3,12/21/12,M,Taylor,Gun,119,68
3,12/21/12,F,Taylor,Gun,119,68
3,12/22/12,F,Taylor,Gun,119,69
3,12/22/12,M,Taylor,Gun,119,69
