name,latitude,longitude,address,description,imagepath,author
Village Bar,43.060764,-89.438892,3801 Mineral Point Road,"<p>Westmorland's version of ""Cheers,"" where ""everyone knows your name,"" has been located at the corner of Mineral Point Road and Glenway Street for over eighty years. The bar is a classic Wisconsin tavern decorated with sports memorabilia, mainly Packers and UW Badgers, adorning the interior.</p> <p>The building in which the current Village Bar resides began as a single-family home located on the north side of the 1500 block of University Avenue and directly across from the College of Engineering at the University of Wisconsin-Madison. Since the house was scheduled for demolition to make room for a new campus building, Theodore Herling moved the house in 1921 from its original location to 3801 Mineral Point Road by using a team of horses to pull the house along Speedway Road.</p> <p>Herling sold the building to his son, W.H. (Bill) Herling shortly after having it moved. Bill Herling converted the house into a general store that opened for business in 1921. Upon the appeal of Prohibition in 1933, he added a small bar in the corner of the store; thus ""Herling's Tavern"" was born. The tavern was nicknamed ""Windy Corners"" by regular customers due to the winds that blow in Mineral Point Road and across Glenway Golf Course (which opened in 1927).</p> <p>In 1944, Herling sold the building and the business to Robert (Bob) Waterman who then converted the entire interior into a bar and renamed the building ""Waterman's Bar."" Waterman ran the bar until February of 1953 when he sold the business to partners Frank Vitale and Joe Namio (who later opened Namio's Supper Club, a long time, popular eating establishment elsewhere in Madison); they then renamed the location the ""Village Bar."" Vitale retired in 1978 and sold the business to Leo and Jan Castle. After running the Village Bar for twenty-one years the Castles then sold the business to the current owners, Mark and Karen Kampa, in January of 1999.</p>",img/westmor/bar.png,Tom Martinelli
Brunsell House,43.05885,-89.44247,442 Toepfer Avenue,"<p>A handful of International-style homes are found on Madison's west side, including a significant, if modified, example at 442 Toepfer Avenue. Originally, the Elmer Brunsell house was a modest, one-story dwelling; but in 2008 it was expanded significantly with a second-story addition.</p><p>The house was designed by local architects Beatty and Strang and built by brothers Elmer and William Brunsell in 1937. Shortly after the brothers formed the Brunsell Lumber and Millwork Company, which has since been a major supplier of building materials for the Madison area. Beatty and Strang often partnered with Brunsell, but this particular house is especially interesting as it was built for Elmer Brunsell's family.</p><p>Hamilton Beatty became partial to the International style after studying it in France, and formed the architecture firm with Allen Strang. Though many homebuyers were wary of the modern designs that Beatty and Strang and the Brunsell brothers produced, Madison residents became quickly receptive when compared to national trends. </p><p>An article on an exhibit featuring Madison architects, published in a 1941 issue of the Wisconsin State Journal offers evidence of the popularity of modern styles. The article presents the results of a survey of housing preferences in which eleven percent of Americans voted in favor of modern styles (versus classic colonial styles), whereas thirty-four percent of Madison residents expressed a preference for modernist examples. </p><p>The author concluded that the popularity of local architects, such as William Kaeser and Beatty and Strang, who were featured in exhibits similar to the one mentioned in the article, contributed to the greater preference of Madisonians for modernist styles.</p><p>Aside from being designed by well-respected architects, many of the homes constructed during this era were marketed as modest, low-cost houses. A description of a series of Beatty and Strang homes in a 1938 Wisconsin State Journal article marketed them as ""a compact, low-cost, modern home, which can grow with the family."" These homes were typically one or two stories with two to three bedrooms, allowing for variations and opportunities for expansion. The chance for new homebuyers to purchase a cost-effective home that also allowed for expansion was a very attractive feature in Beatty and Strang designs.</p>",img/westmor/brunsell.png,Margaret Raimann
Herbert & Katherine Jacobs House,43.05879,-89.44147,441 Toepfer Avenue,"<p>The first Katherine and Herbert Jacobs House stands out in the Westmorland neighborhood as one of only a few architect-designed houses. Although designed by Frank Lloyd Wright, already by then a world-renowned architect, it materialized from his lifelong ""Usonian"" vision to house middle-class Americans. Like Wright himself, the house is significant as a national model as well as regionally; indeed, the James Wilkie House just around the corner is modeled directly after it.</p><p>The house was constructed in 1937 for Katherine and Herbert Jacobs, who enlisted Wright to construct a low-priced house by following his Usonian drawings. </p><p> During the Great Depression, housing starts had slowed, and thus architects such as Wright were exploring new kinds of commissions. Wright's lack of work during the Depression, however, was not his only motivation to build the house for the Jacobs. After moving from Milwaukee, Herb and Katherine Jacobs visited the Taliesin Fellowship in 1936. Upon meeting the couple, Wright took to them on a personal level and was willing to build the modest-cost home that the couple desired.</p><p>The house, which covers two lots on the east side of Toepfer Avenue, employs an L-shape plan, with the living-dining-kitchen in the main block and a bedroom wing off the back. In addition to the house, Wright designed the interior furnishings, including built-ins, furniture, and lighting, much of which survives or has been restored. </p><p>Due to Wright's lack of work during the Depression, he was also instrumental in construction activities associated with the house. To keep costs low, Wright used locally sourced materials such as leftover brick from his work on the Johnson Wax Building in Racine, Wisconsin, which is located just over one hundred miles southeast of Madison. </p><p>The Jacobs family did not live in the house for an extended period of time. According to city directories they had moved by 1946, when Max Pohle took over the property. When Herb Jacobs developed an interest in farming, he moved his family towards the City of Middleton, located northwest of Madison; once again they hired Wright to build another house for them (Jacobs II).</p><p>Jacobs I received its designation as a Madison City Landmark in 1974, although at that time it was in need of extensive restoration. Today, Jacobs I is fully restored, a process that began after James Dennis, a Professor in the Department of Art History at the University of Wisconsin-Madison, purchased the home in 1983.</p><p> Dennis maintained Wright's original design with little deviation. The carport was a telling case. Since mid-century carports were not suitable for Midwestern climatic conditions, many Madisonians converted them into garages. Nevertheless, Dennis's restoration team renovated the carport to its original state, since it is a distinct design feature of Wright's homes. The concrete slab in the house was completely repoured and the roof replaced with a rubber membrane. </p><p>Another major job involved the removal of a creosote preservative from the exterior Ponderosa pine boards and redwood battens, as well as the removal of red paint trim from the windows and doors. As part of the renovation Dennis also created features from the original plans that had not been completed, such as a flower box in the front of the house. In addition to its local landmark status, Jacobs I was designated a National Historic Landmark in 2003 and is now under consideration as a potential nomination to the 'U.S. World Heritage Tentative List.' </p>",img/westmor/jacobs.png,Margaret Raimann
Sears House,43.05946,-89.445591,425 Holly Avenue,"<p>Although the heyday of homebuilding in Westmorland was after World War II, a sizable number of buildings were erected during the 1920s and 1930s.</p><p> Of houses built during the interwar period two have been documented as ""Sears Homes"", at 425 Holly Avenue and 4021 Winnemac. Their presence foregrounds the diversity of the Westmorland neighborhood, showing that architect- and builder-designed houses stood alongside national prefabricated types, even before World War II.</p> <p>By some estimates Sears sold between 75,000 and 100,000 houses during its Modern homes"" program, which occurred between 1908 and 1940. At least 447 different models were available during this thirty-two year period. Homeowners could ""customize"" what they wanted from these models, choosing exterior finish, cabinetry, hardware, plumbing, and so forth. </p><p>Sears would mass-produce the items necessary to build the house; they set up the financing; and they shipped all of the parts to the building site. With minimal labor, the homeowner and/or his builder could erect the house fairly easily, since the items were prefabricated, part numbers were stamped on the lumber, and assembly instructions were included. </p><p>Two Sears homes in Westmorland have been identified visually. The house at 425 Holly, constructed in 1932, was built on the ""Colchester"" model, right after its introduction in the catalog. It was a two-story English Tudor four-bedroom model, considerably larger (over 2,000 square feet) than the Cape Cod.</p><p> The house at 4021 Winnemac was built in 1939 after the ""Parkside"" Sears model, first introduced in 1933. It is a one-story Cape Cod home, with two bedrooms, kitchen, small dining alcove, living room, and one bathroom. More research is needed to document the presence of other Sears Homes in the neighborhood and understand their owners' motivations for buying them.</p>",img/westmor/sears2.png,Anna Andrzejewski
Sears House,43.056597,-89.44238,4021 Winnemac Avenue,"<p>Although the heyday of homebuilding in Westmorland was after World War II, a sizable number of buildings were erected during the 1920s and 1930s.</p><p> Of houses built during the interwar period two have been documented as ""Sears Homes"", at 425 Holly Avenue and 4021 Winnemac. Their presence foregrounds the diversity of the Westmorland neighborhood, showing that architect- and builder-designed houses stood alongside national prefabricated types, even before World War II.</p> <p>By some estimates Sears sold between 75,000 and 100,000 houses during its Modern homes"" program, which occurred between 1908 and 1940. At least 447 different models were available during this thirty-two year period. Homeowners could ""customize"" what they wanted from these models, choosing exterior finish, cabinetry, hardware, plumbing, and so forth. </p><p>Sears would mass-produce the items necessary to build the house; they set up the financing; and they shipped all of the parts to the building site. With minimal labor, the homeowner and/or his builder could erect the house fairly easily, since the items were prefabricated, part numbers were stamped on the lumber, and assembly instructions were included. </p><p>Two Sears homes in Westmorland have been identified visually. The house at 425 Holly, constructed in 1932, was built on the ""Colchester"" model, right after its introduction in the catalog. It was a two-story English Tudor four-bedroom model, considerably larger (over 2,000 square feet) than the Cape Cod.</p><p> The house at 4021 Winnemac was built in 1939 after the ""Parkside"" Sears model, first introduced in 1933. It is a one-story Cape Cod home, with two bedrooms, kitchen, small dining alcove, living room, and one bathroom. More research is needed to document the presence of other Sears Homes in the neighborhood and understand their owners' motivations for buying them.</p>",img/westmor/sears1.png,Anna Andrzejewski
James Wilkie House,43.059072,-89.440418,3909 Euclid Avenue,"<p>In 1938, shortly after Frank Lloyd Wright built the first Katherine and Herbert Jacobs House, William Kaeser built a strikingly similar house just around the corner at 3909 Euclid Avenue. Although Kaeser began his professional career as Madison's first city planner in 1935, he left that position a few years later to devote himself to architecture, claiming that city development in the government took too long to materialize. Inspired by the ideals of the Wright's Usonian houses, Kaeser designed and produced a number of houses based on the models of Wright. </p><p>The plan of the James Wilkie House is almost a direct copy of Wright's first usonian model home. What makes Kaeser's home in Westmorland interesting, along with the other residential dwellings he built, is his own interpretation of Wright's organic architecture practices.</p><p> According to Kaeser scholar Anne Biebel, Kaeser was able to distinguish himself from Wright and his Taliesen apprentices through integration of his graduate studies with Eliel Saarinen. Kaeser learned to not completely dismiss the emerging International or modern styles, as Wright did, and instead combine them with organic styles idealized for Usonia. </p><p>When Kaeser left his position as a city planner, he also dismissed residential development in the urban core. His primary projects early in his career were in the suburbs, especially in the Villages of Maple Bluff and Shorewood Hills, which are both located along Lake Mendota. Taking to the natural architecture and building with the topography of the area, Kaeser was able to carry out his own regionalist modernism.</p><p>While Kaeser attempted to distinguish himself from Wright, it was difficult to ignore Wright's influence on the city of Madison.  Upon entering the architecture field, Kaeser experimented with Wright's Usonian ideals by taking features of Usonian houses, like Jacobs I, and attempted to distinguish his structure with different materials. </p><p>Both the Wilkie and Jacobs I houses are constructed in an L-shaped plan. Although Wright intended his house as a low-cost middle-class home, Kaeser's was even more about cost efficiency; his house is downscaled in size as well as materials. </p><p>Both homes also set a precedent for post-World War II suburban ideals of privacy seen elsewhere in the neighborhood (and throughout the United States). The front of each home is situation in a low position on the hill with narrow window bands placed toward the top. The backs of the homes, meanwhile, are lined with tall windows, which allow the residents to experience nature while still having their desired privacy. </p>",img/westmor/wilkie.png,Margaret Raimann
McBurney House,43.057134,-89.447922,505 S. Owen Drive,"<p>The McBurney House is an intact example of a Lustron home, a notable attempt at post-World War II prefabricated housing. Even though the Lustron Corporation went bankrupt in 1950 after producing only 2,000 of the 30,000 residences they had anticipated selling, their product still marks a turning point in suburban housing, which is especially evident in Westmorland today.</p><p> In Madison, Lustron homes were constructed by J. H. Findorff & Sons, Inc., a local contractor still in business today. There are at least twenty-two Lustrons still found in the area, seven of which are located in Westmorland . </p><p>The Lustron home at 505 South Owen Drive is a blue, Westchester two-bedroom deluxe model, measuring 31 by 35 feet, one of the Lustron Corporation's most popular models. Other Lustron homes in Westmorland, all Westchesters, are located at 3810 Saint Clair Street, 534 Glenway Street, 513 South Owen Drive, 548 South Owen Drive, 537 Gately Terrace, and 418 Critchell Terrace. Most were constructed in 1949, at the end of Lustron's home-production activities.</p><p>Robert and Jane McBurney bought the house in 1949 and hired Findorff to erect it. McBurney, an Assistant Professor at the University of Wisconsin-Madison, sold the house in 1951, when he left the University and Madison. William Deming bought the house in 1951, but moved out within a year. In 1952 Ernest Goeldner and his wife, Carol, moved into the home. Ernest was a dispatcher for LCL Transit, and Carol an office secretary for the Stemp Typewriter Company; she owned the home after Ernest's death in 1954, and stayed until 1956 when Kenneth Fishburn, a driver for Bulk Transport, bought the house.</p><p> In 1964, the dwelling was turned over once again, this time to Lucille Jacobson. From this list of owners, it is possible to see the increasing numbers of working class families that were able to purchase homes during the post-World War II housing boom. </p><p>John Sylvester, a local Madison radio personality, now lives in the Lustron Home at 505 S. Owen Drive, which he purchased in 1996. Because of the limited number of houses that were manufactured by the Lustron Corporation, as well as the unique features of the home, Sylvester purchased another Lustron that provided elements for the restoration of the interior. </p>",img/westmor/mcburney.png,Margaret Raimann
Westmorland Park,43.054714,-89.445084,Tokay Boulevard,"<p>Further enriching Westmorland's landscape was the addition of a public park in 1944. Starting around 1941, the park proposal was under consideration by the Madison Town Board. </p><p>An article in a September 1941 issue of the Capital Times reported on the park approval process and noted the presence of Westmorland residents, including Herb Jacobs (owner of the Jacobs House) who was President of the Westmorland Community Association at the time. The park was eventually approved by the City of Madison under the stipulation that Westmorland cover a considerable proportion of construction costs.</p><p> Despite the financial difficulties, the neighborhood's residents came together to fund the purchase of the park land by making five-dollar payments to the Westmorland Community Association.</p><p>Since its development, Westmorland Park has served as a rich cultural landscape for the neighborhood. </p><p>Events such as the Fourth of July parade and picnic were centered on the park, which provided Westmorland's residents with a sense of community through the difficult war years and beyond. The park not only came at a pivotal time in the nation's history, but also at a time of major development activities in Westmorland. The neighborhood was re-platted shortly after the construction of the park, which integrated it into the neighborhood plan.</p> <p>Westmorland Park may have initially supported the ideals of post-war suburbia, but the realities of vandalism struck the park during the 1960s. </p><p>A 1963 article in the Wisconsin State Journal reported that Westmorland Park was known for recurring vandalism and had become a place where parents were reluctant to allow their children to play. While Westmorland Park has subsequently became a desirable place for residents, articles with such titles as Park Vandals vs. Improvement, help to document the contrast between postwar suburban ideals and reality. </p>",img/westmor/park.png,Margaret Raimann
Stone Gates,43.060644,-89.443722,Westmorland Boulevard & Mineral Point Road,"<p>A sturdy pair of stone walls marks the main entrance to the Westmorland neighborhood. In December of 1926, the Westmorland Company, one of a series of Westmorland developers, hatched plans to develop a section of the neighborhood just south of Mineral Point Road. They constructed Westmorland Boulevard with a wide median and the gates in hopes of attracting buyers. </p><p>This may have been adopted as a strategy because of the nearby Nakoma neighborhood, which had similar gates marking the entrance to its fashionable suburban homes.</p><p> The Company's plans, however, came at the start of the Depression, and the historic photograph from 1930 shows that despite the grand aspirations symbolized by the gates, the development failed to materialize as quickly as its founders had hoped.</p><p>The gates were built of local sandstone, perhaps from the stone quarry located about a half mile away. Originally the gates were designed with wrought iron signage and lanterns in the openings in the stonework. The Westmorland Neighborhood Association is planning to restore these during 2012.</p>",img/westmor/gates.png,Anna Andrzejewski
William R. Warren Barn,43.059908,-89.442229,4010 Paunack Avenue,"<p>The oldest structure still standing in Westmorland was built as a barn and stable during the 1860s and now stands as a residence at 4010 Paunack Avenue. </p><p>The cut sandstone-walled building was originally built over one-hundred-fifty years ago by William R. Warren, who owned the eighty acres that stretched from Mineral Point Road to south of the future Illinois Central Railroad grade (built in 1887) and from Glenway Street to the current Westmorland Boulevard. (There also is a small storage shed from the same era built with rough sandstone walls that now stands in the backyard at 3822 Paunack Avenue in another section of the former Warren farm.)</p><p> The property then became the Charles Baker Sunnyside Farm"" from 1890 until 1899, when it was purchased by Otto Toepfer, Jr. Toepfer used the barn as a stable for his horses, cows, and chickens, with hay storage on the upper level. Toepfer owned the barn, along with his 1906 home at 4001 Mineral Point Road, until 1930, when he sold both buildings to a prominent Madison banker, A. O. Paunack.</p><p>The Paunack family occupied the home on Mineral Point Road and owned the adjacent property until September of 1937, when Professor James March and his wife, Mildred (Billie), purchased the property and moved their young family into the former Toepfer home. </p><p>It is believed that the Marchs converted the barn to a home around 1938 and rented it out beginning in 1939. At some point during the late 1940s a wood-frame addition was added to the east side. The current owners of the home offered it as a stop on Historic Madison's Alternate Parade of Homes event in Westmorland on June 5, 2011.   </p>",img/westmor/barn.png,Tom Martinelli
